id,Pendapatan Keluarga,Jumlah Tanggungan dalam Keluarga,Pekerjaan Orang Tua/Wali,Pendidikan Orang Tua/Wali,Kepemilikan Aset,Lokasi Tempat Tinggal,Pengeluaran Bulanan Keluarga,Status Kepesertaan Program Bantuan Pemerintah,Riwayat Beasiswa atau Bantuan Pendidikan,Ayah Hidup?,Ibu Hidup?,Status Kepemilikan Tempat Tinggal,Jumlah (Perkiraan Harga Pasar) Kendaraan yang Dimiliki,Daya Listrik (Watt),Luas Tanah Rumah (m2),Luas Bangunan Rumah (m2),NJOP per Meter,Bahan Atap Rumah,Bahan Tembok Rumah,Bahan Lantai Rumah,Rerata Pengeluaran Listrik & Air per Bulan,Total Hutang,Cicilan Hutang per Bulan,Program Studi,Kota,Jalur Masuk,Golongan UKT
93856,Rp 4.000.000 s.d. Rp 5.000.000,3.0,Pegawai Swasta,MA,Kontrak,Kota Medan ,1000000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Meninggal,Kontrak,5000000.0,910.0,84.0,84.0,0.0,Genteng,Semen,Keramik,300000.0,10000000.0,1000000.0,Ilmu Politik,Kota Medan ,SNBT,6.0
105547,Rp 1.000.000 s.d. Rp 2.000.000,3.0,Wiraswasta,MA,Milik Sendiri,Kab. Purbalingga,1000000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Milik Sendiri,10000000.0,450.0,643.0,54.0,48000.0,Gendeng,,Keramik,113000.0,5000000.0,200000.0,Pendidikan Kepelatihan Olahraga,Kab. Purbalingga,SNBP,5.0
69824,Rp 2.000.000 s.d. Rp 3.000.000,1.0,Pegawai Swasta,Tidak Lulus SD,Milik Sendiri,Kabupaten Banjarnegara ,800000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Milik Sendiri,10000000.0,900.0,259.0,49.0,30000.0,Genting tanah liat,Batu bata,Keramik,150000.0,0.0,0.0,Pendidikan Bahasa Inggris,Kabupaten Banjarnegara ,SNBT,5.0
107708,Rp 1.000.000 s.d. Rp 2.000.000,0.0,Petani,SMA,Milik Sendiri,Kab. Banyumas,900000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Milik Sendiri,3000000.0,900.0,220.0,81.0,160000.0,Genteng,Batu Bata,Keramik,140000.0,10000000.0,450000.0,Pendidikan Sosiologi dan Antropologi,Kab. Banyumas,SNBT,4.0
93798,Rp 1.000.000 s.d. Rp 2.000.000,1.0,Petani,SD,Milik Sendiri,Kabupaten Kebumen ,700000.0,KIS/JKS/BPJS,kipk,Hidup,Hidup,Milik Sendiri,1.0,450.0,1872.0,54.0,82000.0,genting,batu bata,keramik,14451.0,0.0,0.0,Pendidikan Kimia,Kabupaten Kebumen ,SNBT,0.0
84089,lebih dari Rp 5.000.000,0.0,Pegawai Swasta,MTs,Milik Sendiri,Kota Semarang ,2000000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Milik Sendiri,30000000.0,720.0,63.0,63.0,916000.0,Asbes,Bata merah,Keramik,245000.0,0.0,0.0,Manajemen,Kota Semarang ,SNBT,6.0
75611,Rp 2.000.000 s.d. Rp 3.000.000,1.0,Pegawai Pemerintahan,SLTA,Milik Sendiri,Kabupaten Banjarnegara ,,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Milik Sendiri,5500000.0,900.0,140.0,63.0,54000.0,Genting,Bata,Keramik,125000.0,0.0,0.0,Bimbingan dan Konseling,Kabupaten Banjarnegara ,SNBP,4.0
76510,lebih dari Rp 5.000.000,1.0,Buruh,MA,Kontrak,Kabupaten Batang ,2000000.0,KIS/JKS/BPJS,Tidak Ada,Hidup,Hidup,Kontrak,15000000.0,450.0,100.0,55.0,400000.0,Genting Tanah Liat,Batu Bata,Keramik,80000.0,200000000.0,4006000.0,Pendidikan Bahasa Inggris,Kabupaten Batang ,SNBP,3.0
80686,Rp 4.000.000 s.d. Rp 5.000.000,3.0,Pegawai Pemerintahan,SLTA,Menumpang,Kabupaten Tangerang ,2000000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Menumpang,17000000.0,0.0,0.0,0.0,0.0,Genteng,Batu bata / Diplester,Keramik,0.0,200000000.0,3000000.0,Pendidikan Guru Pendidikan Anak Usia Dini,Kabupaten Tangerang ,SNBT,5.0
93482,Rp 2.000.000 s.d. Rp 3.000.000,2.0,Buruh,SMA,Milik Sendiri,Kabupaten Pati ,500000.0,KIS/JKS/BPJS,KIPK,Hidup,Hidup,Milik Sendiri,5000.0,900.0,131.0,48.0,36000.0,genteng,batu bata plaster,keramik,136000.0,25000000.0,1000000.0,Pendidikan Teknik Otomotif,Kabupaten Pati ,SNBT,0.0
